Ward No,SubWard,Locality Names
29,,"Kariyanna Palya, St. Thomas Town, Kammanahalli, Indira Nagar, Nagadevi Industrial area, Sena Vihar, Sait Palya, HBR Layout 2nd, 3rd, Keshav Nagar, Kacharkanahalli, Jalavayu vihar, Kalyana Nagar.
 "
,,
,,
,,
30,,"Kadugondanahalli, HRBR Layout 1st block, Narasimha Layout KG Halli, Venkateshpura, Pillanna Garden"
,,
,,
,,
31,,"Anwar block, Ashok Nagar, Kushal Nagar, Kadugondanahalli (P), P and T Colony, Chikkanna Layout, Muslim Colony, Muneshwar Nagar"
,,
,,
,,
32,,"Dinnur, Ranka Nagar, P and Colony (P), Srinivasa Layout, Quaters Colony, Bheemanna Layout, MM Layout, Ratan Singh Layout, Kaval Bairasandra, Nagappa Layout, AMC Layout, Muniveerappa Layout, HBR Layout 2nd  Stage, Anand Layout, Shamannagowda Layout, Adarsh Nagar, Pioneer Defence Housing Colony, Appajappa Layout, Shampura New Extension, Ananda Gokula Layout, Krishnappa Layout,"
,,
,,
,,
33,,"Bhuvaneshwari Nagar, Chamundi Nagar, Dasappa Garden, Manorayanapalya (P), Kauser Nagar, HMT Layout, P & T Colony, Rahamat Nagar, Anandppa Block."
,,
,,
,,
34,,"Ganganagar, Dena Bank Colony, Papanna block, Gangenahalli Extension, Mathadhalli Layout,"
,,
,,
,,
35,,"M S Ramaiah Nagar, Indian Institute of Science (IISc) Campus, IAF Quarters, Sankey’s tank, Palace ground, Malleswaram (P), Ashwathnagar, AGS Officers Layout, ITI Layout, Sadashiva Nagar, RMV 2nd Stage 1st Block
 "
,,
,,
,,
36,,"Sanjivappa Garden, Mattikere, Netaji Nagar, Mattikere Extension, Gokul Extension."
,,
,,
,,
37,,"Yeshwanthpura, HMT Layout, Gurumurthy Layout, Kamala Nehru Extn., GK Colony, LN Colony, Dr.Ambedkar Nagar"
,,
,,
,,
38,,"Jalahalli West, Air Force Area, Ayyappa Nagar, Siddarth Nagar, HMT Qtrs., Muneshwara Nagar, Yashwanthpur Industrial Area, Platinum City, Netaji Nagar, Peenya Industrial Area II Phase, CMTI Quarters, Civil Engineers Quarters, Katha Nagar"
,,
,,
,,
39,,"Vikas Nagara, Nagasandra Colony, Vidhya Nagar, Nagasandra, Rukmini Nagar, HMT Housing Colony, Sapthagiri Layout, Amaravathi Layout, Chokkasandra, Netaji Nagar, Peenya Industrial Area II phase, Nelagedaranahalli, Narayanapura"
,,
,,
,,
40,,"Channanayakanahalli, Jagannatha Rao Layout, Gopalappa Layout, Maranna Narayanappa Layout, Lingadeeranahalli, Siddartha Layout, Tippenahalli, Suvarna Nagar, Wipro Layout, Gruhalakshmi Housing Colony, Indranagar, Nagasandra, Residential Layout, Proposed Inregreted Layout, Karibanahalli, Tigalara Palya, Mubarak Nagar, Vaddara Palya, Raghavendra Nagar, Maruthi Nagar IV Phase, Kalki Nagar, Handrihalli, Vidhyamana Nagara, Doddanna Layout, Class D Employees Housing Layout, Hosahalli G Palya, Sri Ramanagaiah Layout, D Group Layout I Stage, Congress Chikkanna Layout, Doddabedrakallu."
,,
,,
,,
41,,"Shivapura, Peenya Industrial Area III Phase, Dugalamma Colony, Sanjay Gandhi Nagar, Parvathi Nagar, Rajeshwari Nagar, MEI Colony, Ganapathi Nagar, Peenya I Phase, Peenya IV Phase III Stage"
,,
,,
,,
42,,"Goragunte playa, Subhash Chandra Bose Nagar, Lakshmidevi Nagar, Kempamma Layout, Kaveri Nagar, Nandini Layout I Stage, Narasimha Layout, Yeshwanthpur Industrial Suburb (P), Jenakal Siddeshwara Nagar"
,,
,,
,,
43,,"Kanteerava Studio, Jayachamaraja Layout, AGB Layout, Saraswathipuram,  Nandini Layout, Jai Maruthi Nagar, Maruthi Nagar, SN Layout, Sriram Nagar, Gelayara Balaga Layout, Kurubarahalli, Panchadeepa Colony, Srinivas Nagar, Jaibhuvaneshwari Nagar, Kanteerava Nagar, Prameela Nagar"
,,
,,
,,
44,,"Gouthampura, RMC Yard, Marappana Palya, Mysore Sandal Soap Factory, Ashokpuram, Shankara Nagar, Corporation Bank Officers quarters, Krishnananda Nagar, Police Quarters Yashwanthpura Industrial Suburb (P)"
,,
,,
,,
45,,"Malleswaram (P), Yeshwanthpura, Subedharpalya, Nanjappa Reddy Colony,"
,,
,,
,,
46,,"RT Nagar, Hanumanthappa Layout, Chunchappa Block, JC Nagar"
,,
,,
,,
47,,"Modi Garden, Bangaragiri Layout, Doddanna Nagar, Devara Jeevanahalli, Military area"
,,
,,
,,
48,,"Muneshwara Nagar, Muneshwara Nagar A block, Ambedkar Nagar, Periyar Nagar, Periyar Nagar AK Colony"
,,
,,
,,
49,,"Lingarajapura, Ramaswamy Palya"
,,
,,
,,
50,,"Gajendra Nagara, Old Bayappanahalli Ambedkar Nagar, Mallappa Garden, Sanjay Gandhi Nagar, Krishnaiahna Palya, Income Tax Layout, Yarratippaiah Layout, NGEF Hosnagara, Sadananda Nagar, Benniganahalli, Rajiv Nagar, Kasturi Nagar, Chikka Banasavadi, Pillareddy Nagar, Kulla Reddy Nagar, Doctor Layout, Lalbahaddur  Nagar, Ramaiah Reddy Colony, B.Channasandra, Bacchanna Layout"
,,
,,
,,
51,,"Kamalamma Layout, Kodanda Reddy Layout, Manjunath Layout, Banasavadi BDA Layout, Gurumurthy Reddy Layout, Nagappa Reddy Layout, Kuvempu Nagar, Subramanya Layout, Rajarajeswari Layout, Jyothi Nagar, N R Layout, Kotturu, Vijnapura, Chandrasekhar Layout, ITI Employees Housing Colony, Food Corporation of India
 
 
 
 
 "
,,
,,
,,
52,,"Krishnarajapura, Hosa Basavanapura, ITI Colony (P), Gangadhara kere, Vangayyana kere"
,,
,,
,,
53,,"Devasandra Extension, Hale Devasandra, Gokul Extension, Chikka Basavanapura, Basavanapura, Shigehalli, Bharathi Nagar, Swathnta Nagar, Yellamallappa Chetty kere"
,,
,,
,,
54,1,Byrathi village
54,2,Bilishivale village
54,3,Varanasi village
54,4,"Ayyappa Nagar, Gangotri Layout, Anurag Layout, Kodagehalli, Basireddy Layout, Srivari Layout, NRI Layout (Varanashi), Chikkmaraiah Layout, NAL Layout, Asha Layout, Kuvempu Layout, Singhs Colony, Ganga Nagar, Saketh Nagar, SJR Eternity Layout, Kumbena Agrahara, Belathur, Belathur Colony, Sathya Sai Colony Sadarmangala, Mahadevapura Industrial Area, Hudi (P), Tigalarapalya, ITPL, Kodagehalli Kere"
55,,"Duravani Nagar, ITI Colony (P), Devasandra, J C Layout, Roshan Nagar, Railway Colony, Devasandra Industrial Area, Singayyana Palya, Badavala Colony, B Narayanapura, Ramakrishna Reddy Layout"
,,
,,
,,
56,,"Jyothipuram, Mahadevapura, A Narayanpura, Pai Layout, Uday Nagar, Defence Accountant Employee Layout,ITI Employee Housing Colony, A Narayanapura Extn., Chinnappa Colony"
,,
,,
,,
57,,"Bhuvaneshwari Nagar, Maruthi Nagar, C V Raman Nagar, Jogapalya (Bairasandra), Abbaiappa Layout, Poojari Lakshmaiah Layout, Seenappa Layout, Patel K Marappa Layout, HAL Officer’s Enclave, Vishvavihar, LRDE Qtrs, Nagavara, Kagdasanapura, Malleshappan palya."
,,
,,
,,
58,,"Michal Palya, HAL III Stage Seethappa Colony, Venkateshwara Colony, Puttappa Colony, Bhumireddy Colony, Annayappa Colony, LIC Colony, Bairasandra, Krishnappa Garden, KG Colony, Garkamanta palya. Binamangala, BM Kaval, 515 Colony, Patel Seethappa Colony, New Tippasandra"
,,
,,
,,
59,,"BL Rice Nagar (St. Thomas town), Balaji Layout, D’Costa Square, Cooks town, Vivekananda Nagar, Jai Bharathi Nagar, Sanjeevappa Layout, Jeevanahalli, ITC Colony, KHB Colony, Sathya Nagar, Maruthi Seva Nagar (P)"
,,
,,
,,
60,,"Bagalur Layout, Sagayapuram, Richards town, Lazar Layout"
,,
,,
,,
61,,"Waheed Garden, Potry town, SK Garden, Devarajivanahalli (P)"
,,
,,
,,
62,,"Rajappa Block, Kemapaiah block, Gundappa Garden, Anjanappa Garden, Narayana block, ITI Colony, Anchappa Garden, Marappa Garden, Muddamma Garden, Krishnappa Garden Chinnappa Garden, Ramaswamy Palya"
,,
,,
,,
63,,"Jayamahal Extension, Railway Qrts. Sultangunta, Swamy Shivanandapuram (Taskar town), Balappa Garden"
,,
,,
,,
64,,"Vaiyyalikaval (P), Malleswaram (P) Rajamahal Guttahalli
 
 
 
 "
,,
,,
,,
65,,"Malleshwaram, Ranganathpuram, Vaiyyalikaval (P), Maruthi Nagar"
,,
,,
,,
66,,"Subramanya Nagar, Milk Colony,"
,,
,,
,,
67,,"Rajajinagar Industrial Suburb, Geleyara Balaga Layout (P), West of Cord road 2nd Stage 1st Block, Ketmaranahalli."
,,
,,
,,
68,,"Saraswathipuram, Mahalakshimpuram Layout, SN Layout, AGB Layout, Maruthi Nagar, Geleyara Balaga Layout (P), Sriram Nagar."
,,
,,
,,
69,,"Preethi Nagar, Vidhana Soudha Layout, Freedom Fighters Colony, Laggere, Narashima Murthy Nagar, LG RAmanna Colony Muneshwara Nagar, Rajeshwari Nagar, Rajiva Gandhi Nagar,"
,,
,,
,,
70,,"Rajagopal Nagar, Byraveshwara Nagar, Rajarajeshwari Nagar, Kempegowda Housing Society, Shambhavi Nagar, Doddanna Industrial Estate, Indira Priyadarshani Nagar, Kapila Nagar, Annapoorna Nagar, Srigandha Nagar, Kareemsab Nagar"
,,
,,
,,
71,,"Maruthi Nagar, Bairaveshwara Industrial estate, Lakshman Nagar, Hegganahalli, Sanjeevini Nagar, Vigneshwar Nagar, Sunkadakatte
 
 "
,,
,,
,,
72,,"Horanadu Annapoorneshwari Layout, Nagaravale Nagar, Janapriya Nagar, SBI colony, Mahadeshwara Nagar, KSRTC Layout, Muddeshwara Layout, Venkateshwara Layout, Syndicate Bank Housing Socity Layout, Herohalli, L and T Layout, Anjana Nagar, Byadarahalli, Bharath Nagar I Phase, BEL Layout I Stage, SMV Layout, BEL Layout II Phase, Bharath Nagar II Phase, SMV VI and VII  block, Janatha colony, Vishveshwaraiah Layout, SMV Layout 8th Phase, Gidada Konenahalli, Byraweshwara Nagar, SMV Layout Nagar,"
,,
,,
,,
73,,"Kempegouda Nagara, Kempegouda Layout, Choudeshwari Nagar, Premnagar, Sreenivas Nagar, Sunkadakatte, Chandana Nagar, Annaporneshwari Nagar (P),  Ashwath Nagar, Muktharayaswamy Layout, Telephone Employees Layout, Beggars Colony, Rudeshwara Nagar, Narasimharaja Palya, Sajjepalya, Kottegepalya,"
,,
,,
,,
74,,"Basaveshwara Nagar, Kirloskar Colony, NGO’s Colony, BEML Layout, Shakthi Ganapati Nagar."
,,
,,
,,
75,,"Jayachamarajanagar, Kurubararahalli, SVK Nagar, KHBS Layout, Shankarmatt, MG Nagar, Jayachamarajendranagara, Sanjaygandhi nagar, Teacher’s Colony, Sri Venkateshwara Krupa Layout, Basaveswaranagara."
,,
,,
,,
76,,"Gayithri Nagar, Sriramapuram."
,,
,,
,,
77,,"Sudheendra Nagar, Swimming Pool Extension, Kumara Park West."
,,
,,
,,
78,,"Pulikeshinagar, Frazer Town, Claveland Town, Sindhi Colony."
,,
,,
,,
79,,"Sarvagna Nagar, Doddakunte, Kathlipalya, Kadarenapalya, New Baiappanahalli Extension, Krishnamurthy Nagar."
,,
,,
,,
80,,"Jayarajanagar, Lakshmipura, Indiranagar 2nd Stage, Shastrinagar, Hutting Colony, Defence Colony, Hoysala Nagar (Murphy Town), Old Tippasandra,  HAL 2nd stage (P)."
,,
,,
,,
